Basecamp,Program,Accomplishment Title,Accomplishment Description,Accomplishment Date,Milestone Title,Milestone Description,Milestone Physical Accomplishment,Milestone Financial Accomplishment,Milestone Date,Bottlenecks,Spillover Title,Spillover Description,Spillover Initial Target,Spillover New Target,Catch-up Activities Title,Catchup Activities Description,Catchup Activities Target Date
Mental Health Professionals for Schools,Organizational Structure and Staffing Review,"Submission of DepEd's proposal to CSC on the Qualification Standards for School Division Counselor, School Counselors, and Associates","Submission of the DepEd's proposed qualification standards to CSC for the new positions under the Republic Act No. 12080 (School Division Counselors, School Counselors, and Counselor Associates)",27-Nov-25,V,"The Activity ensured that School Counselors and Associates have well-defined responsibilities, adequate support, and clear job descriptions that aligned with the evolving needs of learners. This initiative strengthened the support system for learners, enhanced policies related to their mental health and well-being, and developed programs that promote their holistic growth. ",1,"127,190.00","February  25-28, 2025
NEAP Marikina",,,,,,,,
Mental Health Professionals for Schools,Organizational Structure and Staffing Review,"Submission of DepEd's proposal to CSC on the Qualification Standards for School Division Counselor, School Counselors, and Associates","Submission of the DepEd's proposed qualification standards to CSC for the new positions under the Republic Act No. 12080 (School Division Counselors, School Counselors, and Counselor Associates)",28-Nov-25,Online Validation on the Proposed Job Descriptions for School Counselors and School Counselor Associates,"The Online Validation ensured that the proposed drfated JDs were reflective of the actual functions, evolving service demands, and the current realities in the field. It sought to gather final comments, recommendations, and insights from DepEd field office personnel and external stakeholders prior to the submission of the finalized job descriptions to the Department of Budget and Management (DBM) for the creation of plantilla items and CSC for the creation of Qualification Standards. ",1, -   ,"July 17-18, 2025
Via Zoom App
",,,,,,,,
Mental Health Professionals for Schools,Organizational Structure and Staffing Review,"Submission of DepEd's proposal to CSC on the Qualification Standards for School Division Counselor, School Counselors, and Associates","Submission of the DepEd's proposed qualification standards to CSC for the new positions under the Republic Act No. 12080 (School Division Counselors, School Counselors, and Counselor Associates)",29-Nov-25,Workshop on the Development of Office Functions and Presentation of Job Description Under Basic Education Mental Health and Well- Being Promotion Act (RA12080),"To support the implementation of the  RA12080, the BHROD-OED  conducted the Workshop on the Development of Office Functions and Presentation of the Job Descriptions under the Basic Education Mental Health and Well-Being Promotion Act.  It was a continuation of the initial consultation and write shop held at NEAP-NCR, Marikina last February 2025, which focused on drafting the job descriptions for School Counselors, School Counselor Associates, and Schools Division Counselors (SDC). The workshop aimed to ensure that the duties and responsibilities are aligned with the actual functions, emerging service demands, and current conditions in schools and field offices.",1,"204,310.00","Aug 26-29, 2025
Baguio Teachers Camp, Baguio City 
",,,,,,,,
Career Progression for DepEd Personnel,Expanded Career Progression for Teachers and School Heads - Policy Work,"Issuance of DepEd-DBM Joint Circular No. 1, s. 2025 - Modified Position Classification and Compensation Scheme and System for Career Progression of Teachers and School Heads in the Public Basic Education System","This Joint Circular updated the position classification and compensation scheme currently stipulated in DBM Circular Letter No. 2007-6 and DepEd Order No. 97, s. 2011 by introducing the new positions of Teacher IV–VII and Master Teacher V; define updated reclassification guidelines for teachers, including Senior High School teachers and school principals; and establish new staffing parameters for Master Teacher and School Principal positions as provided in the 1997 Organization and Staffing Standards for DECS Schools Division, Elementary, and Secondary Schools.","June 4, 2025","Series of Consultation/Validation Worshops and alignment Meetings with DBM, DepEd field implementers, HRMOs, PSB Members.","These series of  activities serves as a platform to address implementation concerns, ensure compliance with existing budgeting and staffing policies, and facilitate informed decision-making to support the effective and sustainable execution of proposed initiatives.",N/A,N/A,2017-2025,Delayed in the vetting and concurrence from DBM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Career Progression for DepEd Personnel,Expanded Career Progression for Teachers and School Heads - Policy Work,"Issued DO No. 19, s. 2025 ​
Amended Qualification Standards for Teacher I–VII, Master Teacher I–V, and School Principal I–IV Positions, and the Qualification Standards for Newly Created Teacher  IV-VII and Master Teacher V Positions","DepEd, through this Order, formally adopts CSC Resolution No. 2500471 dated 28 May 2025, which approved the revised QS for Teacher I to Teacher III, Master Teacher I to Master Teacher IV, and School Principal I to School Principal IV positions, as well as the QS for Teacher IV to Teacher VII and Master Teacher V positions created under by virtue of EO No. 174, s. 2022.","June 24, 2025","Series of Consultation/Validation Workshop and alignment Meeting with CSC, PRC, and DepEd field implementers, HRMOs, PSB Members.","These series of activities aims to validate the proposed qualification standards, ensure regulatory and operational alignment, and incorporate field-level insights.",N/A,N/A,2017-2025,Delayed in the vetting and concurrence from CSC and PRC,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Career Progression for DepEd Personnel,Expanded Career Progression for Teachers and School Heads - Policy Work,"Issuance of DepEd Order No. 024, s. 2025 - Guidelines on the Implementation of the Expanded Career Progression System for Teachers and School Heads in the Department of Education","This Order provides for the internal guidelines on the implementation of EO No. 174, s.2022, its IRR, and t}le DBM- DepEd Joint Circular No. 1, s. 2025; and sets forth a systematic and competency-based process of advancement of teachers and school heads along the established career lines in classroom teaching and school administration.","August 28, 2025","Series of Consultation/Validation Workshop  with  DepEd Starands, DepEd field implementers, and National Technical Working Group","These series of activities are designed to ensure that operational processes are fully aligned with Executive Order No. 174, the DepEd–DBM Joint Circular, and DepEd Order No. 19. They aim to strengthen policy coherence, validate compliance with approved guidelines, address implementation gaps, and promote a shared understanding among stakeholders to ensure consistent, efficient, and accountable execution across all levels of the Department.",N/A,N/A,2019-2025,"Delayed implementation, as it is contingent upon the approval of the IRR of EO 174, the DepEd–DBM Joint Circular, and DepEd Order No. 19.",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Career Progression for DepEd Personnel,Expanded Career Progression for Teachers and School Heads - Policy Work,"Issuance of DepEd Order No. 034, s. 2025 - Amendments and Clarifications to DepEd Order No. 024, s. 2025 (Guidelines on the Implementation of the Expanded Career Progression System for Teachers and School Heads in the Department of Education)","This Order clarifies transitory provisions, refine policy guidelines for consistency, and further uphold fairness and adherence to merit- and competency-based principles. ","October 14, 2025",Consultation with NTWG and DepEd Strands,"This consultation activity ensures that the policy holistically captures the concerns, needs, and practical realities of teachers and other key stakeholders, thereby strengthening policy responsiveness, acceptability, and effectiveness.",N/A,N/A,Oct-25,Limited validation and consultation activities in the field,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Career Progression for DepEd Personnel,Reclassification of Position,"16,147 have already been reclassified","This accomplishment is a significant landmark for teachers and school heads as it directly recognizes their professional growth, competencies, and contributions.","December 19, 2025","Issuance of  [DM-OUHROD-2025-2505] Commencement of Reclassification of Teaching and School Principal Positions Pursuant to DepEd Order No. 024, s. 2025

Isuuance of DM-OUHROD-2025-1331 - RECLASSIFICATION OF QUALIFIED PERSONNEL TO SCHOOL PRINCIPAL I POSITION",These issuances serves as go signal and guidance to the field implementers to further operationalize the issued Order,"16,147",No NOSCA yet,"November 30, 2025","Limited Number of HRMOs, TCEs, at the Division and Regional Offices to process voluminous applications for reclassification.

This bottleneck highlights the need for additional staffing support, streamlined workflows, and capacity-building measures to ensure timely and efficient processing, ultimately improving service delivery and supporting the professional advancement of teachers and school heads.",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Career Progression for DepEd Personnel,Reclassification of Position,"43,933 have been assessed and are for issuance of NOSCA.","This accomplishment is a significant landmark for teachers and school heads as it directly recognizes their professional growth, competencies, and contributions.","December 19, 2025","Issuance of  [DM-OUHROD-2025-2505] Commencement of Reclassification of Teaching and School Principal Positions Pursuant to DepEd Order No. 024, s. 2025

Isuuance of DM-OUHROD-2025-1331 - RECLASSIFICATION OF QUALIFIED PERSONNEL TO SCHOOL PRINCIPAL I POSITION",These issuances serves as go signal and guidance to the field implementers to further operationalize the issued Order,"43,933",No NOSCA yet,No NOSCA yet,"Limited Number of HRMOs, TCEs, at the Division and Regional Offices to process voluminous applications for reclassification.

This bottleneck highlights the need for additional staffing support, streamlined workflows, and capacity-building measures to ensure timely and efficient processing, ultimately improving service delivery and supporting the professional advancement of teachers and school heads.","43,933 have been assessed and are for issuance of NOSCA.",These processed applications are still waiting for DBM's approval. ,Dec-25,Feb-March 2025,Consistent coordination and follow up to DBM,To fast-track the approval and issuance of NOSCA,1st Quarter of 2026
Career Progression for DepEd Personnel,Assessors Program,"National Assessors Training for HRMPSB Members, HRMOs, and Assessors of Teacher Competencies",This program is designed to build an adequate pool of credible and competent assessors of teacher and school principal competencies for the implementation od Expanded Career Progression System,4th Quarter of 2024,3 Runs of National Assessors Training of Trainers ​on Expanded Career Progression System for Teachers Deepening on Standards-Based Teacher Assessment,This program is designed to build an adequate pool of credible and competent assessors of teacher and school principal competencies for the implementation od Expanded Career Progression System,90,912300,"Batch 1: November 5-8, 2024
Batch 2: November 19-22, 2024
Batch 3: December 3-6, 2024",Delayed in the procurement of venue,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Career Progression for DepEd Personnel,Assessors Program,"Regional Assessors Training for HRMPSB Members, HRMOs, and Assessors of Teacher Competencies",This program is designed to build an adequate pool of credible and competent assessors of teacher and school principal competencies for the implementation od Expanded Career Progression System,December 2024-March 2025,16 Runs of Regional Assessors Training of Trainers ​on Expanded Career Progression System for Teachers Deepening on Standards-Based Teacher Assessment,This program is designed to build an adequate pool of credible and competent assessors of teacher and school principal competencies for the implementation od Expanded Career Progression System,"2,180",10159500,December 2024-March 2025,Overlapping of Schedules of Regions ,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Career Progression for DepEd Personnel,Assessors Program,Capacity Building for ECP Champions,"This program is designed to equip ECP Champions with:

1. Effective leadership and decision-making capabilities to guide the implementation of the Expanded Career Progression System;
2. Change management strategies and skills to support smooth transitions, mitigate resistance, and sustain effective implementation of the ECP;
3. Proactive communication and advocacy skills to gain buy-in from teachers, school heads, and other education partners, fostering shared ownership of the ECP",3rd Quarter of 2025,3 runs of Capacity Building for ECP Champions,"This program is designed to equip ECP Champions with:

1. Effective leadership and decision-making capabilities to guide the implementation of the Expanded Career Progression System;
2. Change management strategies and skills to support smooth transitions, mitigate resistance, and sustain effective implementation of the ECP;
3. Proactive communication and advocacy skills to gain buy-in from teachers, school heads, and other education partners, fostering shared ownership of the ECP",354,"2,943,200​,000.00","Batch 1: September 9-11, 2025
Batch 2: October 1-3, 2025
Batch 3: October 6-8, 2025",Procurement of Venue; Availability of Participants,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Career Progression for DepEd Personnel,Communications and Advocacy,ECP FAQs,"This material aim to simplify key policy points, address common queries, and increase awareness and understanding of the ECP implementation among teachers and stakeholders.",4th Quarter of 2025,"DM-OUHROD-2025-3003 - Frequently Asked Questions for DepEd Order 024, s. 2025 and DepEd Order 034, s. 2025","This material aim to simplify key policy points, address common queries, and increase awareness and understanding of the ECP implementation among teachers and stakeholders.",No Budgetary Requirement,No Budgetary Requirement,"October 24, 2025","Lack of resources, experts for the design and content",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Career Progression for DepEd Personnel,Communications and Advocacy,ECP Art Card,"This toolkit and Art Card are intended to provide step-by-step guidance on the processes of reclassification and promotion, and explains the key provisions and implementation details of DepEd Orders Nos. 024 and 34, s. 2025. This toolkit and Art Card shall likewise include easy access to forms, templates, and other reference materials.",4th Quarter of 2025,Publication of Social Media Art Cards and ECP Videos,"This toolkit and Art Card are intended to provide step-by-step guidance on the processes of reclassification and promotion, and explains the key provisions and implementation details of DepEd Orders Nos. 024 and 34, s. 2025. This toolkit and Art Card shall likewise include easy access to forms, templates, and other reference materials.",No Budgetary Requirement,No Budgetary Requirement,"November 7, 2025","Lack of resources, experts for the design and content",Batch 2 of Social Media Art Cards,"This toolkit and Art Card are intended to provide step-by-step guidance on the processes of reclassification and promotion, and explains the key provisions and implementation details of DepEd Orders Nos. 024 and 34, s. 2025. This toolkit and Art Card shall likewise include easy access to forms, templates, and other reference materials.",Dec-25,1st Quarter of 2025,Creation and Finalization of Social Media Art Cards,,1st Quarter of 2025
Career Progression for DepEd Personnel,Communications and Advocacy,ECP Toolkit,"This toolkit and Art Card are intended to provide step-by-step guidance on the processes of reclassification and promotion, and explains the key provisions and implementation details of DepEd Orders Nos. 024 and 34, s. 2025. This toolkit and Art Card shall likewise include easy access to forms, templates, and other reference materials.",4th Quarter of 2025,Released Comprehensive ECP Toolkit for Teachers,"This toolkit and Art Card are intended to provide step-by-step guidance on the processes of reclassification and promotion, and explains the key provisions and implementation details of DepEd Orders Nos. 024 and 34, s. 2025. This toolkit and Art Card shall likewise include easy access to forms, templates, and other reference materials.",No Budgetary Requirement,No Budgetary Requirement,"November 12, 2025","Lack of resources, experts for the design and content",ECP Toolkit for Principal andAffected Personnel,,Dec-25,1st Quarter of 2025,Creation and Finalization of ECP Toolkit for SP and Affected Personnel,,1st Quarter of 2025
Career Progression for DepEd Personnel,DepEd Leadership Program,Provision of L&D interventions targeting leadership competencies,"Managed by the L&D unit of the BHROD-HRDD, this program focuses on L&D interventions aimed at enhancing the leadership competencies of the Executive Committee, Central and Regional Office Directors, Chiefs and Assistant Chiefs, as well as permanent non-teaching technical staff (SG 18-24) in the CO, RO, SDO, and DepEd Schools.  ",January to December 2025,AIM Project: Post Graduate Certificate in Management for Education Leaders (PGCMEL) - Batch 1,"This L&D intervention, in partnership with the Asian Institute of Management (AIM), aimed to equip future leaders and managers of DepEd with essential skills in critical, futures, and design thinking, as well as project management and effective communication skills to tackle projects and future challenges. Similarly, this activity provided an opportunity for DepEd personnel in improving their problem-solving skills using the Define, Measure, Analyze, Improve, and Control (DMAIC) framework, enabling them to systematically identify, analyze, and address organizational challenges for sustainable enhancements in efficiency and excellence. Lastly, it aimed to enhance leadership abilities in managing human capital based on established leadership models and practices within the Department of Education's structure, systems, processes, and services. ",50 DepEd NTPs completed the program,"5,756,000.00","March 31 to April 25, 2025",N/A,N/A,,,,N/A,,
Career Progression for DepEd Personnel,DepEd Leadership Program,Provision of L&D interventions targeting leadership competencies,"Managed by the L&D unit of the BHROD-HRDD, this program focuses on L&D interventions aimed at enhancing the leadership competencies of the Executive Committee, Central and Regional Office Directors, Chiefs and Assistant Chiefs, as well as permanent non-teaching technical staff (SG 18-24) in the CO, RO, SDO, and DepEd Schools.  ",January to December 2026,AIM Project: Post Graduate Certificate in Management for Education Leaders (PGCMEL) - Batch 2,"This L&D intervention, in partnership with the Asian Institute of Management (AIM), aimed to equip future leaders and managers of DepEd with essential skills in critical, futures, and design thinking, as well as project management and effective communication skills to tackle projects and future challenges. Similarly, this activity provided an opportunity for DepEd personnel in improving their problem-solving skills using the Define, Measure, Analyze, Improve, and Control (DMAIC) framework, enabling them to systematically identify, analyze, and address organizational challenges for sustainable enhancements in efficiency and excellence. Lastly, it aimed to enhance leadership abilities in managing human capital based on established leadership models and practices within the Department of Education's structure, systems, processes, and services. ",50 DepEd NTPs completed the program,"5,756,000.00","July 7 to August 1, 2025",N/A,N/A,,,,N/A,,
Career Progression for DepEd Personnel,DepEd Leadership Program,Provision of L&D interventions targeting leadership competencies,"Managed by the L&D unit of the BHROD-HRDD, this program focuses on L&D interventions aimed at enhancing the leadership competencies of the Executive Committee, Central and Regional Office Directors, Chiefs and Assistant Chiefs, as well as permanent non-teaching technical staff (SG 18-24) in the CO, RO, SDO, and DepEd Schools.  ",January to December 2027,AIM Project: Post Graduate Certificate in Management for Education Leaders (PGCMEL) - Batch 3,"This L&D intervention, in partnership with the Asian Institute of Management (AIM), aimed to equip future leaders and managers of DepEd with essential skills in critical, futures, and design thinking, as well as project management and effective communication skills to tackle projects and future challenges. Similarly, this activity provided an opportunity for DepEd personnel in improving their problem-solving skills using the Define, Measure, Analyze, Improve, and Control (DMAIC) framework, enabling them to systematically identify, analyze, and address organizational challenges for sustainable enhancements in efficiency and excellence. Lastly, it aimed to enhance leadership abilities in managing human capital based on established leadership models and practices within the Department of Education's structure, systems, processes, and services. ",50 DepEd NTPs completed the program,"5,756,000.00","June 2 to 27, 2025",N/A,N/A,,,,N/A,,
Career Progression for DepEd Personnel,DepEd Leadership Program,Provision of L&D interventions targeting leadership competencies,"Managed by the L&D unit of the BHROD-HRDD, this program focuses on L&D interventions aimed at enhancing the leadership competencies of the Executive Committee, Central and Regional Office Directors, Chiefs and Assistant Chiefs, as well as permanent non-teaching technical staff (SG 18-24) in the CO, RO, SDO, and DepEd Schools.  ",January to December 2028,Participation of CO employees to external L&D interventions through external Learning Service Providers (LSPs),"This L&D opportunity is provided for Central Office personnel to participate in external  L&D interventions (ELDIs) publicly offered by external LSPs that contributed to improved leadership, managerial, and technical decision-making competencies among senior officials, directors, chiefs, and permanent non-teaching technical staff (Salary Grades 18–24).",49 CO employees and third level officials participated in ELDI targeting leadership competencies,"514,750.00",January to December 2025,N/A,N/A,,,,N/A,,
Career Progression for DepEd Personnel,Central Office Learning & Development Program,Learning & Development Intervention on Work Attitude and Values Enhancement (WAVE),"This program focused on gaining awareness of the participants’ values and how these will align with the Department’s values, people interaction, and job performance. It also provided the participants with background on administrative rules and regulations, code of conduct, and ethical standards in the public sector. Lastly, participants who attended this program gained a better understanding of other office etiquette necessary for a public servant. ",May to September 2025,LDI on WAVE - Batch 1,"Intended for CO personnel, preferably those who are new in the Department and/or new in their positions",24 participants attended the L&D intervention,,"July 15-18, 2025","Backing out of initially confirmed participants due to conflict of schedule, heavy workload, and/or disapproval of travel authority",N/A,,,,N/A,,
Career Progression for DepEd Personnel,Central Office Learning & Development Program,Learning & Development Intervention on Work Attitude and Values Enhancement (WAVE),"This program focused on gaining awareness of the participants’ values and how these will align with the Department’s values, people interaction, and job performance. It also provided the participants with background on administrative rules and regulations, code of conduct, and ethical standards in the public sector. Lastly, participants who attended this program gained a better understanding of other office etiquette necessary for a public servant. ",May to September 2026,LDI on WAVE - Batch 2,"Intended for CO personnel, preferably those who are new in the Department and/or new in their positions",35 participants attended the L&D intervention,,"May 27-30, 2025",N/A,N/A,,,,N/A,,
Career Progression for DepEd Personnel,Central Office Learning & Development Program,Learning & Development Intervention on Work Attitude and Values Enhancement (WAVE),"This program focused on gaining awareness of the participants’ values and how these will align with the Department’s values, people interaction, and job performance. It also provided the participants with background on administrative rules and regulations, code of conduct, and ethical standards in the public sector. Lastly, participants who attended this program gained a better understanding of other office etiquette necessary for a public servant. ",May to September 2027,LDI on WAVE - Batch 3,"Intended for COS personnel in the Central Office, preferably those who are new in the Department and/or new in their positions",35 participants attended the L&D intervention,,"June 3-5, 2025",N/A,N/A,,,,N/A,,
Career Progression for DepEd Personnel,Central Office Learning & Development Program,Learning & Development Intervention on Work Attitude and Values Enhancement (WAVE),"This program focused on gaining awareness of the participants’ values and how these will align with the Department’s values, people interaction, and job performance. It also provided the participants with background on administrative rules and regulations, code of conduct, and ethical standards in the public sector. Lastly, participants who attended this program gained a better understanding of other office etiquette necessary for a public servant. ",May to September 2028,LDI on WAVE - Batch 4,"Intended for CO personnel, preferably those who are new in the Department and/or new in their positions",24 participants attended the L&D intervention,,"September 16-19, 2025","Backing out of initially confirmed participants due to conflict of schedule, heavy workload, and/or disapproval of travel authority",N/A,,,,N/A,,
Career Progression for DepEd Personnel,Central Office Learning & Development Program,Learning & Development Intervention on Work Attitude and Values Enhancement (WAVE),"This program focused on gaining awareness of the participants’ values and how these will align with the Department’s values, people interaction, and job performance. It also provided the participants with background on administrative rules and regulations, code of conduct, and ethical standards in the public sector. Lastly, participants who attended this program gained a better understanding of other office etiquette necessary for a public servant. ",May to September 2029,LDI on WAVE - Batch 5,"Intended for COS personnel in the Central Office, preferably those who are new in the Department and/or new in their positions",35 participants attended the L&D intervention,,"October 15-17, 2025",N/A,N/A,,,,N/A,,
Career Progression for DepEd Personnel,Central Office Learning & Development Program,Learning & Development Intervention on Work Attitude and Values Enhancement (WAVE),"This program focused on gaining awareness of the participants’ values and how these will align with the Department’s values, people interaction, and job performance. It also provided the participants with background on administrative rules and regulations, code of conduct, and ethical standards in the public sector. Lastly, participants who attended this program gained a better understanding of other office etiquette necessary for a public servant. ",May to September 2030,LDI on WAVE - Batch 6,"Intended for CO personnel, preferably those who are new in the Department and/or new in their positions",35 participants attended the L&D intervention,,"October 21-24, 2025",N/A,N/A,,,,N/A,,
Career Progression for DepEd Personnel,Central Office Learning & Development Program,Learning & Development Intervention on Technical Writing,"This program is designed for CO employees who require foundational knowledge in technical writing. It covers the principles of effective writing, grammar and style, document organization, and practical exercises in drafting various technical documents. Participants will engage in hands-on activities, peer reviews, and instructor-led discussions to develop their writing skills and apply best practices in professional communication. ",October to December 2025,LDI on Technical Writing - Batch 1,"Intended for CO Personnel, with majority holding plantilla positions, who have not yet attended any communication skills training",35 participants attended the L&D intervention,,"November 10-13, 2025",N/A,N/A,,,,N/A,,
Career Progression for DepEd Personnel,Central Office Learning & Development Program,Learning & Development Intervention on Technical Writing,"This program is designed for CO employees who require foundational knowledge in technical writing. It covers the principles of effective writing, grammar and style, document organization, and practical exercises in drafting various technical documents. Participants will engage in hands-on activities, peer reviews, and instructor-led discussions to develop their writing skills and apply best practices in professional communication. ",October to December 2026,LDI on Technical Writing - Batch 2,"Intended for CO Personnel, with majority holding plantilla positions, who have not yet attended any communication skills training",35 participants attended the L&D intervention,,"October 7-10, 2025",N/A,N/A,,,,N/A,,
Career Progression for DepEd Personnel,Central Office Learning & Development Program,Learning & Development Intervention on Technical Writing,"This program is designed for CO employees who require foundational knowledge in technical writing. It covers the principles of effective writing, grammar and style, document organization, and practical exercises in drafting various technical documents. Participants will engage in hands-on activities, peer reviews, and instructor-led discussions to develop their writing skills and apply best practices in professional communication. ",October to December 2027,LDI on Technical Writing - Batch 3,Intended for COS Personnel in the Central Office who have not yet attended any communication skills training,35 participants attended the L&D intervention,,"December 2-4, 2025",N/A,N/A,,,,N/A,,
Career Progression for DepEd Personnel,Central Office Learning & Development Program,Learning & Development Intervention on Program Management,"This program aimed to equip participants with the knowledge, skills, and tools necessary to effectively manage programs within their respective offices. It also covered the entire program management lifecycle—from identification to closure—ensuring that programs, activities, and projects (PAPs) are strategically planned, efficiently implemented, and properly evaluated. Through interactive discussions, case studies, and practical exercises, participants also gained a structured approach to program management, enhancing their ability to align programs with organizational objectives and maximize their impact. ",September to October 2025,LDI on Program Management - Batch 1,Intended for CO Personnel holding plantilla positions with Salary Grade (SG) level 15 and up positions or those managing PAPs,35 participants attended the L&D intervention,,"September 2-5, 2025",N/A,N/A,,,,N/A,,
Career Progression for DepEd Personnel,Central Office Learning & Development Program,Learning & Development Intervention on Program Management,"This program aimed to equip participants with the knowledge, skills, and tools necessary to effectively manage programs within their respective offices. It also covered the entire program management lifecycle—from identification to closure—ensuring that programs, activities, and projects (PAPs) are strategically planned, efficiently implemented, and properly evaluated. Through interactive discussions, case studies, and practical exercises, participants also gained a structured approach to program management, enhancing their ability to align programs with organizational objectives and maximize their impact. ",September to October 2026,LDI on Program Management - Batch 2,Intended for CO Personnel holding plantilla positions with Salary Grade (SG) level 15 and up positions or those managing PAPs,35 participants attended the L&D intervention,,"September 3-October 3, 2025",N/A,N/A,,,,N/A,,
Career Progression for DepEd Personnel,Central Office Learning & Development Program,Learning & Development Intervention on Program Management,"This program aimed to equip participants with the knowledge, skills, and tools necessary to effectively manage programs within their respective offices. It also covered the entire program management lifecycle—from identification to closure—ensuring that programs, activities, and projects (PAPs) are strategically planned, efficiently implemented, and properly evaluated. Through interactive discussions, case studies, and practical exercises, participants also gained a structured approach to program management, enhancing their ability to align programs with organizational objectives and maximize their impact. ",September to October 2027,LDI on Program Management - Batch 3,Intended for CO Personnel holding plantilla positions with Salary Grade (SG) level 15 and up positions or those managing PAPs,35 participants attended the L&D intervention,,"October 27-30, 2025",N/A,N/A,,,,N/A,,
Career Progression for DepEd Personnel,Central Office Learning & Development Program,Learning & Development Intervention on Program Management,"This program aimed to equip participants with the knowledge, skills, and tools necessary to effectively manage programs within their respective offices. It also covered the entire program management lifecycle—from identification to closure—ensuring that programs, activities, and projects (PAPs) are strategically planned, efficiently implemented, and properly evaluated. Through interactive discussions, case studies, and practical exercises, participants also gained a structured approach to program management, enhancing their ability to align programs with organizational objectives and maximize their impact. ",September to October 2028,LDI on Program Management - Batch 4,Intended for COS Personnel in the Central Office who provide assistance in implementing PAPs,35 participants attended the L&D intervention,,"November 19-21, 2025",N/A,N/A,,,,N/A,,
